stored_name	slug	kind	website	name	description_de	description_en	events	note
Now And Ever	now-and-ever	promoter	https://nowandever.de/	Now And Ever			4	site NOW AND EVER Music
Ntr Team	ntr-team	unverified		Ntr Team			1	
Oakheart	oakheart	unverified		Oakheart			1	
offbeatclub	offbeatclub	promoter		offbeatclub			2	
old and fast	old-and-fast	promoter		old and fast			2	Schokoladen DJ collective
Out Of Line	out-of-line	promoter	https://www.outofline.de/	Out Of Line			3	label
Out4fame	out4fame	promoter	https://out4fame.ticket.io/	Out4fame			2	
Ox-Fancine	ox-fanzine	media	https://www.ox-fanzine.de/	Ox-Fanzine			1	stored as Ox-Fancine
Papke Luhr	papke-luhr	unverified		Papke Luhr			1	
Paranoid	paranoid	party		Paranoid			2	Lido
Patchanka	patchanka	promoter	https://patchanka-booking.com	Patchanka			2	RA lists it as Patchanka Booking Agency; patchanka.de is a parked default page
Peter Edel & www.stummfilmkonzerte.de	peter-edel-www-stummfilmkonzerte-de	junk		Peter Edel & www.stummfilmkonzerte.de			1	venue + URL; deleted by V026
Picky Magazine	picky-magazine	media	https://pickymagazine.de/	Picky Magazine			1	
Pluswelt	pluswelt	promoter	https://www.pluswelt.com/	Pluswelt	Pluswelt Promotion ist eine Hamburger Agentur für Management, Promotion und Booking, von einzelnen Shows bis zu Tourneen und Festivals in Europa, mit Schwerpunkt auf Synthpop, Dark Wave und Electro. In Berlin laufen die Shows im Privatclub und Frannz Club.	Pluswelt Promotion is a Hamburg agency for management, promotion and booking, from single shows to European tours and festivals, focused on synth-pop, dark wave and electro. Its Berlin shows run at Privatclub and Frannz Club.	4	PLUSWELT PROMOTION, Hamburg
polenta	polenta	artist		polenta			1	
Popmonitor	popmonitor	media	http://www.popmonitor.de/	Popmonitor			4	
Positive Transmitter	positive-transmitter	promoter	https://www.facebook.com/PositiveTransmitterAgency/	Positive Transmitter			1	RA: Facebook page is the only site
Potalonu	potalonu	unverified		Potalonu			1	
Powerline	powerline-agency	promoter	https://powerline-agency.com/	Powerline Agency	Powerline Agency ist eine Berliner Booking-Agentur und Veranstalter für Indie, Garage und Psychedelic. Die Berliner Shows laufen im Urban Spree, Schokoladen und in der Columbiahalle.	Powerline Agency is a Berlin booking agency and promoter for indie, garage and psychedelic acts. Its Berlin shows run at Urban Spree, Schokoladen and the Columbiahalle.	10	
PRK DreamHaus	prk-dreamhaus	promoter	https://www.prk-dreamhaus.com/	PRK DreamHaus	PRK DreamHaus entstand 2024 aus der Fusion der Kölner PRK Peter Rieger Konzertagentur (seit 1983) mit dem Berliner DreamHaus (seit 2020), beide Teil der CTS Eventim. Die Agentur veranstaltet Arena- und Hallentourneen, in Berlin etwa im Velodrom und Astra Kulturhaus.	PRK DreamHaus was formed in 2024 by merging Cologne's PRK Peter Rieger Konzertagentur (founded 1983) with Berlin's DreamHaus (founded 2020), both part of CTS Eventim. It promotes arena and hall tours, in Berlin at the Velodrom and Astra Kulturhaus among others.	10	
psychberg affairs	psychberg-affairs	promoter	https://www.instagram.com/psychberg_affairs	psychberg affairs			1	Schokoladen collective; RA: Instagram is the only site
punkfilmfest berlin	punkfilmfest-berlin	promoter		punkfilmfest berlin			7	
Pure Obsessions & Red Nights	pure-obsessions-red-nights	party		Pure Obsessions & Red Nights			1	
Puschen	puschen	promoter	https://puschen.net/	Puschen	Puschen ist eine Booking- und Promotion-Agentur aus Neukölln, gegründet von Andreas Oberschelp, mit einem Roster aus Indie, Folk und Alternative. Die Berliner Shows laufen unter anderem in Huxleys Neue Welt, silent green und Schokoladen.	Puschen is a booking and promotion agency in Neukölln, founded by Andreas Oberschelp, with a roster of indie, folk and alternative acts. Its Berlin shows run at Huxleys Neue Welt, silent green and Schokoladen, among others.	16	
Qu	qu	junk		Qu			1	deleted by V026
QU Entertainment	qu-entertainment	promoter	https://www.qu-entertainment.com/	QU Entertainment	QU Entertainment ist ein europäischer Veranstalter für K-Pop-Konzerte, Tourneen und Fan-Events, von Clubshows bis zur Halle.	QU Entertainment is a European promoter of K-pop concerts, tours and fan events, from club shows to halls.	1	minted on production 2026-09-13 from Hole 44's "QU Entertainment UG (haftungsbeschränkt) presents"; the brand writes "Q:U Entertainment", the legal name is kept so the slug stands
Quasimodo	quasimodo	venue	https://quasimodo.de/	Quasimodo			2	
Quiero Stand Up!	quiero-stand-up	promoter		Quiero Stand Up!			1	
Radio Bob	radio-bob	media	https://www.radiobob.de/	RADIO BOB!			1	site writes RADIO BOB!
Radio France International	radio-france-internationale	media	https://www.rfi.fr/	Radio France Internationale			1	
radioeins	radioeins	media	https://www.radioeins.de/	radioeins	radioeins ist das Erwachsenenprogramm des rbb, auf 95,8 MHz in Berlin und Potsdam. Der Sender präsentiert Konzerte in der Stadt, vom Frannz Club bis zur Zitadelle.	radioeins is rbb's grown-up station, on 95.8 MHz in Berlin and Potsdam. It presents concerts across the city, from Frannz Club to the Zitadelle.	8	
Rausgegangen	rausgegangen	media	https://rausgegangen.de/	Rausgegangen	Rausgegangen ist eine Plattform für Veranstaltungstipps, in Berlin und anderen deutschen Städten, mit Programm, Tickets und eigenen Empfehlungen. Sie präsentiert Konzerte in der Stadt, unter anderem in der Zitadelle und im Urban Spree.	Rausgegangen is an event-discovery platform, in Berlin and other German cities, with listings, tickets and its own picks. It presents concerts across the city, at the Zitadelle and Urban Spree among others.	5	event platform
rbb 88.8	rbb-88-8	media	https://www.rbb888.de/	rbb 88.8			1	
reverberation	reverberation	promoter		reverberation			1	Schokoladen collective
Rockitsessions,	rockitsessions	promoter		Rockitsessions			1	stored with trailing comma
Rolling Stone	rolling-stone	media	https://www.rollingstone.de/	Rolling Stone			3	
Root Pgr	root-pgr	unverified		Root Pgr			1	
Rough Trade Europe	rough-trade-europe	promoter		Rough Trade Europe			1	now Believe
Rudelsingen - Das Original aus Münster	rudelsingen	promoter	https://rudelsingen.de/	Rudelsingen			3	
Schubert	schubert	unverified		Schubert			1	
Selective Artists	selective-artists	promoter	https://selectiveartists.com/	Selective Artists	Selective Artists ist eine Konzertagentur und Tourneeveranstalter. In Berlin laufen die Shows unter anderem im Heimathafen Neukölln.	Selective Artists is a concert agency and touring promoter. Its Berlin shows run at Heimathafen Neukölln, among others.	1	
Semmel	semmel-concerts	promoter	https://semmel.de/	Semmel Concerts	Semmel Concerts ist einer der größten Konzertveranstalter Europas, mit Sitz in Bayreuth und einem Büro in Berlin, Teil des Netzwerks EVENTIM LIVE. Über 1.500 Veranstaltungen im Jahr, von Tourneen bis zu eigenen Shows.	Semmel Concerts is one of Europe's largest concert promoters, based in Bayreuth with an office in Berlin and part of the EVENTIM LIVE network. It stages more than 1,500 events a year, from tours to its own productions.	11	
Semtainment	semtainment	unverified		Semtainment			1	
silent green	silent-green	venue	https://www.silent-green.net/	silent green	silent green ist ein Kulturquartier im ehemaligen Krematorium Wedding, seit 2013 in privater Trägerschaft. Das eigene Programm reicht von Konzerten und Klanginstallationen bis zu Ausstellungen und Diskursformaten, quer durch die Disziplinen.	silent green is a cultural quarter in the former Wedding crematorium, privately run since 2013. Its own programme runs from concerts and sound installations to exhibitions and talks, across disciplines.	50	
Simply Quiz	simply-quiz	promoter		Simply Quiz	Simply Quiz veranstaltet Pubquiz-Abende im Badehaus, mehrmals im Monat und auf Spendenbasis: mehr als 40 Fragen, Reservierung per Nachricht, Einlass ab 19:30.	Simply Quiz runs pub-quiz nights at Badehaus, several times a month and donation-based: more than 40 questions, reservation by message, doors at 19:30.	13	FB/IG only
Skyline Green	skyline-green	artist	https://www.skylinegreen.de/	Skyline Green			1	band
Slam	slam	junk		Slam			1	deleted by V026
Sonic Boom	sonic-boom	promoter		Sonic Boom			1	Schokoladen
Sonic Seducer	sonic-seducer	media	https://sonic-seducer.de/	Sonic Seducer			1	
Soulgigs	soulgigs	promoter		Soulgigs			1	site not found
Sozialo	sozialo	party		Sozialo			2	sozialo.de for sale
Spanisch in Berlin - Eventos	spanisch-in-berlin-eventos	promoter		Spanisch in Berlin - Eventos			1	
Spirit	spirit-events	promoter	https://spirittickets.de/	Spirit Events	Spirit Events aus Magdeburg veranstaltet Punk-, Oi!- und Ska-Konzerte, in Berlin etwa OXO 86 in Huxleys Neue Welt.	Spirit Events from Magdeburg promotes punk, Oi! and ska shows, in Berlin for instance OXO 86 at Huxleys Neue Welt.	1	Huxleys credits "Spirit Events presents"; the strip left "Spirit" and V026 dropped it (#1361); V032 renames it
Spokes	spokes	unverified		Spokes			1	Cosmic Comedy
Stand in Front	stand-in-front	promoter	https://standinfront.de/	Stand in Front	Stand in Front ist eine Berliner Management- und Tourneeagentur für deutschen Rap, mit Künstlern wie Prinz Pi, Genetikk und Omar76. Die Berliner Shows laufen in der Columbiahalle und im Hole 44.	Stand in Front is a Berlin management and touring company for German rap, with acts such as Prinz Pi, Genetikk and Omar76. Its Berlin shows run at the Columbiahalle and Hole 44.	6	
Starving Artist	starving-artist	unverified		Starving Artist			1	
Stiftung WissensArt	stiftung-wissensart	sponsor	https://stiftung-wissensart.de/	Stiftung Wissensart			1	stored WissensArt
Streetlife International	streetlife-international	promoter	https://street.life/	Streetlife International	Streetlife International ist ein Berliner Tourneeveranstalter und eine Künstleragentur, seit 2009 in Schöneberg. In Berlin laufen die Shows unter anderem im Hole 44, Gretchen und Metropol.	Streetlife International is a Berlin touring promoter and artist agency, based in Schöneberg since 2009. Its Berlin shows run at Hole 44, Gretchen and Metropol, among others.	4	
Subacuatica	subacuatica	unverified		Subacuatica			1	
Subway Event Berlin	subway-event-berlin	promoter	https://www.subwayevent-berlin.com/	Subway Event Berlin			2	
Sunday-Matinee	sunday-matinee	junk		Sunday-Matinee			1	series label; deleted by V026
Swamp	swamp	promoter		Swamp			2	Swamp Booking
süper!nice!	super-nice	promoter		süper!nice!			1	
T.g.c. The Glow Collective	t-g-c-the-glow-collective	promoter		T.g.c. The Glow Collective			1	
Tag Der Klubkultur	tag-der-klubkultur	junk		Tag Der Klubkultur			1	event name; deleted by V026
Team Feel Free Energy	team-feel-free-energy	junk		Team Feel Free Energy			1	deleted by V026
Teenage Couleur	teenage-couleur	party		Teenage Couleur			1	
the Comedy Nomad	the-comedy-nomad	promoter		the Comedy Nomad			2	
The Hilarious Deep Amazing Comedy	the-hilarious-deep-amazing-comedy	junk		The Hilarious Deep Amazing Comedy			1	show title; deleted by V026
The Swag	the-swag	party		The Swag			2	jam session
thirsty & miserable	thirsty-miserable	promoter		thirsty & miserable			1	Schokoladen
Tilos Rádió	tilos-radio	media	https://tilos.hu/	Tilos Rádió			1	
tipBerlin	tipberlin	media	https://www.tip-berlin.de/	tipBerlin			5	
Tiq	tiq	promoter	https://www.facebook.com/tiqberlinquadraticwave	Tiq			3	RA lists it as TIQ Berlin; Facebook is the only site
Tirnanog	tirnanog	artist		Tirnanog			1	
TOP90s Berlin	top90s-berlin	party		TOP90s Berlin			1	
Topline Berlin	topline-berlin	unverified		Topline Berlin			1	
Total Black	total-black	unverified		Total Black			1	
TouringTunes Sp. z o. o.	touringtunes	promoter		TouringTunes			1	Polish agency
Trinity Music	trinity-music	promoter	https://trinitymusic.de/	Trinity Music	Trinity Music veranstaltet seit 1998 Konzerte in Berlin, rund 1.000 im Jahr, vor allem Rock und Pop – vom Club bis zu den großen Hallen der Stadt. Seit 2005 bespielt die Agentur auch die Zitadelle Spandau als Open-Air-Bühne.	Trinity Music has promoted concerts in Berlin since 1998, around 1,000 a year, mostly rock and pop, from club shows to the city's largest halls. Since 2005 it has also run the Zitadelle Spandau as an open-air stage.	340	
Trippleslashdot	trippleslashdot	unverified		Trippleslashdot			1	
TV Noir	tv-noir	promoter	https://tvnoir.de/	TV Noir			1	
Twisted Talent	twisted-talent	promoter		Twisted Talent			1	
Undercover	undercover	promoter	https://undercover.de/	Undercover	Undercover ist ein Tourneeveranstalter aus Braunschweig, der Künstler:innen in Deutschland, Österreich und der Schweiz auf Tour bringt und rund 200 örtliche Shows im Jahr veranstaltet. In Berlin laufen die Konzerte unter anderem im Badehaus, Frannz Club und in der Columbiahalle.	Undercover is a touring promoter from Braunschweig that takes acts on tour across Germany, Austria and Switzerland and stages around 200 local shows a year. In Berlin its concerts run at Badehaus, Frannz Club and the Columbiahalle, among others.	8	
Unreleased	unreleased-berlin	party	https://unreleased.berlin/	Unreleased Berlin			2	
untoldency	untoldency	unverified		untoldency			1	
Urban Spree	urban-spree	venue	https://www.urbanspree.com/	Urban Spree			2	
Verlag Klaus Wagenbach	verlag-klaus-wagenbach	sponsor	https://www.wagenbach.de/	Verlag Klaus Wagenbach			1	
Vertikal	vertikal	unverified		Vertikal			1	
Vk Beats_	vk-beats_	unverified		Vk Beats_			1	trailing underscore
Volkssolidarität Berlin	volkssolidaritat-berlin	sponsor	https://www.volkssolidaritaet.de/	Volkssolidarität Berlin			1	
WallCityMusic	wallcitymusic	promoter		WallCityMusic			1	
We Artists	we-artists	promoter	https://www.weartists.de/	We Artists			1	We Artists GmbH, Booking & Management; the venue writes it so
Welterforscher Film und so weiter	welterforscher-film-und-so-weiter	promoter		Welterforscher Film und so weiter			1	
Whiskeyrap	whiskeyrap	party	https://www.whiskeyrap.de/	Whiskeyrap			1	
Wisborg	wisborg	artist		Wisborg			1	band
You've Got The Love	you-ve-got-the-love	party		You've Got The Love			1	
Zart	z-art-agency	promoter	https://zart-agency.com/	Z|ART Agency			2	
